dialogue,emotion,hidden_meaning,threat_level,clean_dialogue
Main toh bas deewaron se baatein karti hu.,passive_aggressive,No one responds to me.,medium,main toh bas deewaron se baatein karti hu
Wah! Itna bada surprise?,passive_aggressive,Annoyed by your sudden news.,medium,wah itna bada surprise
Kash mere paas bhi ek smart bacha hota.,passive_aggressive,Comparing you to others.,medium,kash mere paas bhi ek smart bacha hota
"Koi baat nahi, main akeli hi chali jaungi.",passive_aggressive,I want you to come but you won't.,medium,koi baat nahi main akeli hi chali jaungi
Aaj kal ke bache...,passive_aggressive,Your generation is the problem.,medium,aaj kal ke bache
"Chodo, tumse kehna hi bekar hai.",passive_aggressive,Giving up out of frustration.,medium,chodo tumse kehna hi bekar hai
Tumhe toh meri mehnat dikhti hi nahi.,passive_aggressive,You take me for granted.,medium,tumhe toh meri mehnat dikhti hi nahi
Sudhar ja warna bahar nikal dungi.,warning,Fix behavior or leave.,high,sudhar ja warna bahar nikal dungi
Ek aur baar phone dekha toh tod dungi.,warning,I'll break your phone.,high,ek aur baar phone dekha toh tod dungi
"Pappa ko aane do, phir dekhna.",warning,Father will deal with you.,high,pappa ko aane do phir dekhna
Agli baar late aaye toh darwaza nahi khulega.,warning,Don't come home late.,high,agli baar late aaye toh darwaza nahi khulega
Zubaan sambhaal ke baat karo.,warning,Watch your tone.,high,zubaan sambhaal ke baat karo
Ye akhri baar bol rahi hu.,warning,Final warning.,high,ye akhri baar bol rahi hu
Zyada udne ki koshish mat karo.,warning,Don't get ahead of yourself.,high,zyada udne ki koshish mat karo
Samajh jao warna samjha dungi.,warning,Understand or face force.,high,samajh jao warna samjha dungi
Mere haath se maar khaoge ab.,warning,I'm about to hit you.,high,mere haath se maar khaoge ab
Hosh mein aa jao.,warning,Get your act together.,high,hosh mein aa jao
Agar marks kam aaye toh tuition band.,warning,Improve grades or no help.,high,agar marks kam aaye toh tuition band
Doston ke saath ghumna band.,warning,You are grounded.,high,doston ke saath ghumna band
Saara pocket money band kar dungi.,warning,Stopping your allowance.,high,saara pocket money band kar dungi
Dimaag thikane pe rakho.,warning,Stay sensible.,high,dimaag thikane pe rakho
Ek thappad mein din mein taare dikh jayenge.,warning,I'll hit you hard.,high,ek thappad mein din mein taare dikh jayenge
Awaaz mat uthao mere saamne.,warning,Don't shout.,high,awaaz mat uthao mere saamne
Abhi batati hu tujhe.,warning,Lesson time.,high,abhi batati hu tujhe
Dekh lena kya haal karti hu tera.,warning,I'll make you regret this.,high,dekh lena kya haal karti hu tera
Limit mein raho.,warning,Stay in boundaries.,high,limit mein raho
Ye badtameezi nahi chalegi.,warning,No disrespect tolerated.,high,ye badtameezi nahi chalegi
Chappal uthaun kya?,warning,Pick up slipper for hitting.,high,chappal uthaun kya
"Bahut ho gayi dosti-yaari, ab padhai karo.",warning,"Stop socializing, start studying.",high,bahut ho gayi dostiyaari ab padhai karo
Ek minute mein sab thik kar dungi.,warning,Disciplining you now.,high,ek minute mein sab thik kar dungi
Shaant ho jao warna bura hoga.,warning,Calm down or else.,high,shaant ho jao warna bura hoga
Kaan pakad ke bahar nikaal dungi.,warning,Physical ejection.,high,kaan pakad ke bahar nikaal dungi
Mujhse panga mat lena.,warning,Don't mess with me.,high,mujhse panga mat lena
Dikhayi mat dena mujhe aaj.,warning,Stay out of my way.,high,dikhayi mat dena mujhe aaj
Abhi pappa ko phone karti hu.,warning,Reporting you to father.,high,abhi pappa ko phone karti hu
Apni hadd mat bhoolo.,warning,Know your limits.,high,apni hadd mat bhoolo
Sudharne ka ek mauka aur de rahi hu.,warning,Last chance.,high,sudharne ka ek mauka aur de rahi hu
Samajhdaar ko ishara kafi hai.,warning,Take the hint.,high,samajhdaar ko ishara kafi hai
Jyada hoshiyari mat dikhao.,warning,Don't act smart.,high,jyada hoshiyari mat dikhao
Tameez se baat karo.,warning,Speak respectfully.,high,tameez se baat karo
Ek shabd aur bola toh dekhna.,warning,Don't say another word.,high,ek shabd aur bola toh dekhna
"Ye jo nakhre hain na, sab nikaal dungi.",warning,Ending your tantrums.,high,ye jo nakhre hain na sab nikaal dungi
Bohot zyada zubaan chalne lagi hai teri.,warning,Talking back too much.,high,bohot zyada zubaan chalne lagi hai teri
Khabardaar jo bahar gaye.,warning,Don't you dare leave.,high,khabardaar jo bahar gaye
Pichwada laal kar dungi.,warning,I will beat you until sore.,high,pichwada laal kar dungi
Kyun apni maut ko bula rahe ho?,warning,Why inviting trouble?,high,kyun apni maut ko bula rahe ho
Subah se dekh rahi hu tumhe.,warning,Watching your bad behavior.,high,subah se dekh rahi hu tumhe
Mera pyaara bacha.,love,My dear child.,low,mera pyaara bacha
Kitna bada ho gaya hai mera beta.,love,My son has grown up.,low,kitna bada ho gaya hai mera beta
Hamesha khush raho.,love,Stay happy always.,low,hamesha khush raho
Meri umar bhi tumhe lag jaye.,love,May you live long.,low,meri umar bhi tumhe lag jaye
Tum duniya ke sabse acche bache ho.,love,Best child in the world.,low,tum duniya ke sabse acche bache ho
Aaj jo maangoge wahi banungi.,love,I'll cook whatever you want.,low,aaj jo maangoge wahi banungi
Nazar utaar du teri.,love,Warding off evil eye.,low,nazar utaar du teri
Bahut naam kamayega mera beta.,love,My son will be successful.,low,bahut naam kamayega mera beta
Kitna handsome lag raha hai mera bacha.,love,Looking handsome.,low,kitna handsome lag raha hai mera bacha
Tumhare bina ye ghar suna lagta hai.,love,House is empty without you.,low,tumhare bina ye ghar suna lagta hai
"Bas tum khush raho, mujhe aur kuch nahi chahiye.",love,Your happiness is everything.,low,bas tum khush raho mujhe aur kuch nahi chahiye
Duniya ki har khushi mile tumhe.,love,Get all the happiness.,low,duniya ki har khushi mile tumhe
Kitna samjhdar hai mera bacha.,love,So sensible.,low,kitna samjhdar hai mera bacha
Mera sher putt.,love,My brave son.,low,mera sher putt
Jeete raho beta.,love,Live long.,low,jeete raho beta
Tum toh meri jaan ho.,love,You are my life.,low,tum toh meri jaan ho
Bhagwan tumhe hamesha salaamat rakhe.,love,May God keep you safe.,low,bhagwan tumhe hamesha salaamat rakhe
Kitna pyaara kaam kiya hai tumne.,love,Lovely work.,low,kitna pyaara kaam kiya hai tumne
Maa ka aashirwad hamesha tumhare saath hai.,love,Mother's blessings are with you.,low,maa ka aashirwad hamesha tumhare saath hai
Aaj toh party honi chahiye.,love,Let's celebrate achievement.,low,aaj toh party honi chahiye
"Chalo, aaj bahar khane chalte hain.",love,Let's eat out.,low,chalo aaj bahar khane chalte hain
Tumne toh mera sir garv se uncha kar diya.,love,Made me proud.,low,tumne toh mera sir garv se uncha kar diya
"Arey, thoda aur khao, kitne kamzor ho gaye ho.",love,"Eat more, you're thin.",low,arey thoda aur khao kitne kamzor ho gaye ho
Meri aankhon ka taara.,love,Apple of my eye.,low,meri aankhon ka taara
Tum jaisa bacha sabko mile.,love,Everyone needs a child like you.,low,tum jaisa bacha sabko mile
Thoda aaram kar lo ladly.,love,"Rest, dear.",low,thoda aaram kar lo ladly
Main tumhare liye hamesha yahan hu.,love,I'm always here for you.,low,main tumhare liye hamesha yahan hu
Kitni acchi smile hai tumhari.,love,Beautiful smile.,low,kitni acchi smile hai tumhari
Sabse pyara mera bacha.,love,Most beloved child.,low,sabse pyara mera bacha
Tumhari har khwaish poori ho.,love,May wishes come true.,low,tumhari har khwaish poori ho
Meri toh duniya hi tum ho.,love,You are my world.,low,meri toh duniya hi tum ho
Kaise ho mere laal?,love,"How are you, dear?",low,kaise ho mere laal
"Accha kaam kiya, shabaash!",love,Well done.,low,accha kaam kiya shabaash
Tum hamesha sahi raste pe chalna.,love,Walk the right path.,low,tum hamesha sahi raste pe chalna
Tumhari khushi meri pehli priority hai.,love,Your happiness first.,low,tumhari khushi meri pehli priority hai
"Chinta mat karo, sab theek hoga.",love,Don't worry.,low,chinta mat karo sab theek hoga
Mera sona beta.,love,My golden child.,low,mera sona beta
Main tumse bahut pyaar karti hu.,love,I love you very much.,low,main tumse bahut pyaar karti hu
Tum mere liye hamesha bache hi rahoge.,love,Always a child to me.,low,tum mere liye hamesha bache hi rahoge
Jug jug jiyo.,love,Live for ages.,low,jug jug jiyo
